               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11446,            0.014848,            0.076027,            0.004717,                 0.5,           0.0052258,           0.0017305,             0.06989,            0.012023,            0.052797,              0.0982,              0.0002,              0.0002
                   1,             0.10101,            0.015625,            0.078439,           0.0038023,                 0.4,           0.0046506,          0.00059841,            0.068751,             0.01229,            0.052614,            0.095499,          0.00049901,          0.00049901
                   2,            0.093274,            0.018409,            0.067499,           0.0037951,                 0.4,           0.0053828,          0.00061128,            0.068097,            0.012456,             0.05244,            0.092797,          0.00079683,          0.00079683
                   3,             0.10279,            0.019788,            0.078162,           0.0046555,                 0.5,           0.0048021,          0.00053608,            0.067178,            0.012671,            0.052248,            0.090093,           0.0010935,           0.0010935
                   4,             0.10623,            0.017324,            0.072742,           0.0045045,                 0.5,            0.005951,           0.0005951,            0.065368,            0.013166,            0.052025,            0.087389,           0.0013889,           0.0013889
                   5,             0.10357,            0.024734,            0.072965,           0.0036232,                 0.4,           0.0033194,          0.00062433,            0.063389,             0.01368,            0.051795,            0.084683,           0.0016832,           0.0016832
                   6,            0.089519,             0.01747,            0.064496,           0.0044248,                 0.5,            0.005005,          0.00072234,            0.060232,            0.014572,              0.0512,            0.081976,           0.0019762,           0.0019762
                   7,            0.098305,            0.019487,            0.079539,           0.0036298,                 0.4,           0.0039866,           0.0006341,            0.056541,            0.015451,            0.050453,            0.079268,           0.0022681,           0.0022681
                   8,            0.084146,            0.020912,            0.063471,           0.0036298,                 0.4,           0.0039866,           0.0006341,            0.056541,            0.015451,            0.050453,            0.076559,           0.0025588,           0.0025588
                   9,            0.088943,            0.025349,            0.068915,          0.00093633,                 0.1,          0.00062055,          0.00031028,            0.053688,            0.016123,             0.04975,            0.073848,           0.0028483,           0.0028483
                  10,            0.088255,             0.02711,            0.067279,          0.00093633,                 0.1,          0.00062055,          0.00031028,            0.053688,            0.016123,             0.04975,            0.071137,           0.0031366,           0.0031366
                  11,            0.088532,            0.025901,            0.069078,           0.0010684,                 0.1,           0.0007432,          0.00022296,             0.05265,            0.016239,            0.048757,            0.068424,           0.0034238,           0.0034238
                  12,            0.081902,            0.024096,            0.074334,           0.0010684,                 0.1,           0.0007432,          0.00022296,             0.05265,            0.016239,            0.048757,             0.06571,           0.0037097,           0.0037097
                  13,            0.086667,            0.025966,            0.071784,            0.010414,                 0.6,            0.008497,           0.0010792,            0.052375,            0.016025,            0.047379,            0.062994,           0.0039945,           0.0039945
                  14,            0.081782,            0.024571,            0.063844,            0.010414,                 0.6,            0.008497,           0.0010792,            0.052375,            0.016025,            0.047379,            0.060278,            0.004278,            0.004278
                  15,            0.075293,            0.023041,            0.064227,            0.010414,                 0.6,            0.008497,           0.0010792,            0.052375,            0.016025,            0.047379,             0.05756,           0.0045604,           0.0045604
                  16,             0.08648,            0.024798,            0.062561,            0.004065,                 0.2,           0.0030685,          0.00043431,            0.054739,            0.015056,            0.045743,            0.054842,           0.0048416,           0.0048416
                  17,            0.076728,            0.021733,            0.054064,            0.004065,                 0.2,           0.0030685,          0.00043431,            0.054739,            0.015056,            0.045743,            0.052122,           0.0051216,           0.0051216
                  18,            0.079617,            0.033694,            0.063137,            0.004065,                 0.2,           0.0030685,          0.00043431,            0.054739,            0.015056,            0.045743,              0.0494,           0.0054004,           0.0054004
                  19,            0.072019,            0.022128,            0.054638,           0.0090058,                 0.5,            0.013062,           0.0018508,            0.053793,            0.014862,            0.043799,            0.046678,            0.005678,            0.005678
                  20,            0.077796,            0.024139,            0.059002,           0.0090058,                 0.5,            0.013062,           0.0018508,            0.053793,            0.014862,            0.043799,            0.043954,           0.0059545,           0.0059545
                  21,            0.076643,            0.026989,            0.057847,           0.0090058,                 0.5,            0.013062,           0.0018508,            0.053793,            0.014862,            0.043799,             0.04123,           0.0062297,           0.0062297
                  22,            0.072923,            0.029601,            0.060004,           0.0090058,                 0.5,            0.013062,           0.0018508,            0.053793,            0.014862,            0.043799,            0.038504,           0.0065038,           0.0065038
                  23,            0.076704,            0.024763,            0.056629,            0.017596,                   1,              0.2036,             0.02678,            0.050277,            0.015173,            0.042017,            0.035777,           0.0067767,           0.0067767
                  24,            0.074757,            0.028428,            0.054316,            0.017596,                   1,              0.2036,             0.02678,            0.050277,            0.015173,            0.042017,            0.033048,           0.0070484,           0.0070484
                  25,            0.065552,            0.024554,            0.051774,            0.017596,                   1,              0.2036,             0.02678,            0.050277,            0.015173,            0.042017,            0.030319,           0.0073188,           0.0073188
                  26,            0.074257,            0.022034,            0.056471,            0.017596,                   1,              0.2036,             0.02678,            0.050277,            0.015173,            0.042017,            0.027588,           0.0075882,           0.0075882
                  27,            0.070944,            0.025364,            0.051648,            0.017596,                   1,              0.2036,             0.02678,            0.050277,            0.015173,            0.042017,            0.024856,           0.0078563,           0.0078563
                  28,            0.071892,            0.021868,            0.050283,            0.015217,                   1,             0.21493,            0.041701,            0.051078,             0.01439,            0.040334,            0.022123,           0.0081232,           0.0081232
                  29,            0.071757,            0.028077,            0.051713,            0.015217,                   1,             0.21493,            0.041701,            0.051078,             0.01439,            0.040334,            0.019389,            0.008389,            0.008389
                  30,            0.058774,            0.021819,            0.049022,            0.015217,                   1,             0.21493,            0.041701,            0.051078,             0.01439,            0.040334,            0.016654,           0.0086535,           0.0086535
                  31,            0.075909,            0.020921,            0.053659,            0.015217,                   1,             0.21493,            0.041701,            0.051078,             0.01439,            0.040334,            0.013917,           0.0089169,           0.0089169
                  32,            0.064414,            0.026986,            0.053141,            0.015217,                   1,             0.21493,            0.041701,            0.051078,             0.01439,            0.040334,            0.011179,           0.0091791,           0.0091791
                  33,            0.071693,            0.029653,            0.053123,            0.012162,                   1,             0.20324,             0.14881,            0.049728,            0.014419,            0.037563,           0.0093466,           0.0093466,           0.0093466
                  34,            0.078331,            0.028302,            0.053451,            0.012162,                   1,             0.20324,             0.14881,            0.049728,            0.014419,            0.037563,           0.0093466,           0.0093466,           0.0093466
                  35,            0.076538,            0.023851,            0.055984,            0.012162,                   1,             0.20324,             0.14881,            0.049728,            0.014419,            0.037563,           0.0093268,           0.0093268,           0.0093268
                  36,            0.070893,            0.019441,            0.055566,            0.012162,                   1,             0.20324,             0.14881,            0.049728,            0.014419,            0.037563,            0.009307,            0.009307,            0.009307
                  37,            0.077124,            0.024559,            0.051649,            0.012162,                   1,             0.20324,             0.14881,            0.049728,            0.014419,            0.037563,           0.0092872,           0.0092872,           0.0092872
                  38,            0.067125,             0.02269,            0.044932,            0.012162,                   1,             0.20324,             0.14881,            0.049728,            0.014419,            0.037563,           0.0092674,           0.0092674,           0.0092674
                  39,            0.067301,             0.01643,            0.046879,            0.011781,                   1,             0.25433,            0.082402,            0.045354,            0.014982,            0.036318,           0.0092476,           0.0092476,           0.0092476
                  40,            0.069663,             0.01825,            0.045904,            0.011781,                   1,             0.25433,            0.082402,            0.045354,            0.014982,            0.036318,           0.0092278,           0.0092278,           0.0092278
                  41,            0.069567,             0.02129,            0.052852,            0.011781,                   1,             0.25433,            0.082402,            0.045354,            0.014982,            0.036318,            0.009208,            0.009208,            0.009208
                  42,            0.071198,            0.017558,             0.05298,            0.011781,                   1,             0.25433,            0.082402,            0.045354,            0.014982,            0.036318,           0.0091882,           0.0091882,           0.0091882
                  43,            0.070143,            0.021343,            0.044302,            0.011781,                   1,             0.25433,            0.082402,            0.045354,            0.014982,            0.036318,           0.0091684,           0.0091684,           0.0091684
                  44,            0.066816,            0.025881,            0.050794,            0.041621,                   1,             0.40486,             0.14402,            0.048363,            0.014105,            0.033306,           0.0091486,           0.0091486,           0.0091486
                  45,            0.068091,            0.022814,            0.046362,            0.041621,                   1,             0.40486,             0.14402,            0.048363,            0.014105,            0.033306,           0.0091288,           0.0091288,           0.0091288
                  46,             0.07229,            0.022085,             0.04335,            0.041621,                   1,             0.40486,             0.14402,            0.048363,            0.014105,            0.033306,            0.009109,            0.009109,            0.009109
                  47,            0.063171,            0.017689,            0.043337,            0.041621,                   1,             0.40486,             0.14402,            0.048363,            0.014105,            0.033306,           0.0090892,           0.0090892,           0.0090892
                  48,            0.072778,            0.027954,            0.045478,            0.041621,                   1,             0.40486,             0.14402,            0.048363,            0.014105,            0.033306,           0.0090694,           0.0090694,           0.0090694
                  49,            0.065123,            0.018994,            0.038139,             0.13648,             0.56806,             0.22387,            0.061352,            0.048758,            0.013668,            0.031841,           0.0090496,           0.0090496,           0.0090496
                  50,            0.074503,            0.019575,            0.048882,             0.13648,             0.56806,             0.22387,            0.061352,            0.048758,            0.013668,            0.031841,           0.0090298,           0.0090298,           0.0090298
                  51,            0.063929,            0.018604,            0.040359,             0.13648,             0.56806,             0.22387,            0.061352,            0.048758,            0.013668,            0.031841,             0.00901,             0.00901,             0.00901
                  52,             0.07292,            0.019136,            0.044133,             0.13648,             0.56806,             0.22387,            0.061352,            0.048758,            0.013668,            0.031841,           0.0089902,           0.0089902,           0.0089902
                  53,            0.073105,            0.020258,            0.041393,             0.13648,             0.56806,             0.22387,            0.061352,            0.048758,            0.013668,            0.031841,           0.0089704,           0.0089704,           0.0089704
                  54,            0.077024,            0.019203,             0.04987,             0.13648,             0.56806,             0.22387,            0.061352,            0.048758,            0.013668,            0.031841,           0.0089506,           0.0089506,           0.0089506
                  55,            0.062979,            0.025434,            0.044933,             0.12221,                 0.5,             0.32714,            0.072986,            0.044252,            0.013889,            0.030891,           0.0089308,           0.0089308,           0.0089308
                  56,             0.06634,            0.025685,            0.042866,             0.12221,                 0.5,             0.32714,            0.072986,            0.044252,            0.013889,            0.030891,            0.008911,            0.008911,            0.008911
                  57,              0.0649,            0.026033,            0.040054,             0.12221,                 0.5,             0.32714,            0.072986,            0.044252,            0.013889,            0.030891,           0.0088912,           0.0088912,           0.0088912
                  58,            0.058841,            0.017429,             0.03716,             0.12221,                 0.5,             0.32714,            0.072986,            0.044252,            0.013889,            0.030891,           0.0088714,           0.0088714,           0.0088714
                  59,            0.071308,            0.022944,            0.041048,             0.12221,                 0.5,             0.32714,            0.072986,            0.044252,            0.013889,            0.030891,           0.0088516,           0.0088516,           0.0088516
                  60,            0.063437,            0.028121,            0.039974,             0.24326,                   1,              0.2553,            0.088234,            0.041022,            0.013846,            0.030384,           0.0088318,           0.0088318,           0.0088318
                  61,            0.061982,            0.018835,            0.037867,             0.24326,                   1,              0.2553,            0.088234,            0.041022,            0.013846,            0.030384,            0.008812,            0.008812,            0.008812
